era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
postBpix,seed,EB_R9_0p50to0p55,0.0,35.0,0.7468,0.0039,0.0039,0,0,0.7472,0.0044,0.0031,0,4,0.0004,0.00392,0.00392
postBpix,seed,EB_R9_0p50to0p55,35.0,37.0,0.904,0.0021,0.0021,0,0,0.904,0.0041,0.0042,0,0,0.0,0.0021,0.0021
postBpix,seed,EB_R9_0p50to0p55,37.0,40.0,0.9104,0.0029,0.003,0,0,0.9105,0.003,0.0031,0,0,0.0001,0.002902,0.003002
postBpix,seed,EB_R9_0p50to0p55,40.0,45.0,0.9278,0.0021,0.0021,0,4,0.9277,0.0022,0.0022,0,4,0.0001,0.002102,0.002102
postBpix,seed,EB_R9_0p50to0p55,45.0,50.0,0.9389,0.003,0.0033,4,0,0.9364,0.003,0.0031,0,0,0.0025,0.003905,0.00414
postBpix,seed,EB_R9_0p50to0p55,50.0,60.0,0.9365,0.0058,0.0056,0,0,0.9422,0.0042,0.0044,4,4,0.0057,0.008132,0.007991
postBpix,seed,EB_R9_0p50to0p55,60.0,70.0,0.9332,0.0458,0.015,0,4,0.9487,0.0173,0.0317,0,0,0.0155,0.048352,0.02157
postBpix,seed,EB_R9_0p50to0p55,70.0,90.0,0.9554,0.0205,0.0248,4,0,0.9433,0.0264,0.0333,0,0,0.0121,0.023805,0.027594
postBpix,seed,EB_R9_0p50to0p55,90.0,999999.0,0.9638,0.0258,0.0368,0,0,0.9704,0.0199,0.0342,4,0,0.0066,0.026631,0.037387
postBpix,seed,EB_R9_0p55to0p85,0.0,35.0,0.8072,0.0027,0.0027,0,0,0.807,0.001,0.0011,0,4,0.0002,0.002707,0.002707
postBpix,seed,EB_R9_0p55to0p85,35.0,37.0,0.933,0.0016,0.0016,0,0,0.9291,0.0009,0.0009,0,4,0.0039,0.004215,0.004215
postBpix,seed,EB_R9_0p55to0p85,37.0,40.0,0.9416,0.0006,0.0006,0,0,0.9416,0.0006,0.0006,0,4,0.0,0.0006,0.0006
postBpix,seed,EB_R9_0p55to0p85,40.0,45.0,0.9496,0.0004,0.0004,0,0,0.9495,0.0004,0.0004,0,0,0.0001,0.000412,0.000412
postBpix,seed,EB_R9_0p55to0p85,45.0,50.0,0.9531,0.0008,0.0009,0,0,0.9527,0.0005,0.0005,4,4,0.0004,0.000894,0.000985
postBpix,seed,EB_R9_0p55to0p85,50.0,60.0,0.951,0.0011,0.001,0,0,0.9533,0.001,0.001,0,0,0.0023,0.00255,0.002508
postBpix,seed,EB_R9_0p55to0p85,60.0,70.0,0.958,0.0081,0.017,0,0,0.9567,0.0029,0.0034,4,4,0.0013,0.008204,0.01705
postBpix,seed,EB_R9_0p55to0p85,70.0,90.0,0.9696,0.0072,0.006,4,0,0.9681,0.0041,0.0038,0,0,0.0015,0.007355,0.006185
