era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_cms,status_pass_cms,status_fail_cms,eff_exp,err_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc,plot_cms,plot_exp
postBpix,seed,EB_R9_0p50to0p55,0.0,35.0,0.7468,0.0039,0,0,0.7472,0.0031,0,4,0.0004,0.00392,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To35p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To35p00.png
postBpix,seed,EB_R9_0p50to0p55,35.0,37.0,0.904,0.0021,0,0,0.904,0.0033,0,0,0.0,0.0021,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To37p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To37p00.png
postBpix,seed,EB_R9_0p50to0p55,37.0,40.0,0.9104,0.0029,0,0,0.9105,0.003,0,0,0.0001,0.002902,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_37p00To40p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_37p00To40p00.png
postBpix,seed,EB_R9_0p50to0p55,40.0,45.0,0.9278,0.0012,0,4,0.9277,0.0022,0,4,0.0001,0.001204,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png
postBpix,seed,EB_R9_0p50to0p55,45.0,50.0,0.9389,0.0033,4,0,0.9364,0.003,0,0,0.0025,0.00414,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png
postBpix,seed,EB_R9_0p50to0p55,50.0,60.0,0.9365,0.0068,0,0,0.9422,0.0042,4,4,0.0057,0.008873,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png
postBpix,seed,EB_R9_0p50to0p55,60.0,70.0,0.9332,0.0124,0,4,0.9487,0.018,0,0,0.0155,0.01985,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png
postBpix,seed,EB_R9_0p50to0p55,70.0,90.0,0.9554,0.0224,4,0,0.9433,0.0288,0,0,0.0121,0.025459,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png
postBpix,seed,EB_R9_0p50to0p55,90.0,999999.0,0.9638,0.0256,0,0,0.9704,0.02,4,0,0.0066,0.026437,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png
postBpix,seed,EB_R9_0p55to0p85,0.0,35.0,0.8072,0.001,0,0,0.807,0.0007,0,4,0.0002,0.00102,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To35p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To35p00.png
postBpix,seed,EB_R9_0p55to0p85,35.0,37.0,0.933,0.006,0,0,0.9291,0.0009,0,4,0.0039,0.007156,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To37p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To37p00.png
postBpix,seed,EB_R9_0p55to0p85,37.0,40.0,0.9416,0.0005,0,0,0.9416,0.0006,0,4,0.0,0.0005,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_37p00To40p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_37p00To40p00.png
