era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
postBpix,seed,EB_R9_0p50to0p55,0.0,35.0,0.7994,0.0072,0.0142,0,4,0.798,0.0031,0.0028,4,0,0.0014,0.007359,0.014306
postBpix,seed,EB_R9_0p50to0p55,35.0,37.0,0.9455,0.0021,0.0021,0,0,0.9455,0.0022,0.0022,0,0,0.0,0.00213,0.00213
postBpix,seed,EB_R9_0p50to0p55,37.0,40.0,0.9494,0.0016,0.0016,0,0,0.9494,0.0015,0.0015,0,0,0.0,0.00156,0.00156
postBpix,seed,EB_R9_0p50to0p55,40.0,45.0,0.9544,0.001,0.001,0,0,0.9544,0.0011,0.0012,4,0,0.0,0.001,0.001
postBpix,seed,EB_R9_0p50to0p55,45.0,50.0,0.9598,0.0024,0.0024,4,0,0.9592,0.0013,0.0014,0,0,0.0006,0.002513,0.002513
postBpix,seed,EB_R9_0p50to0p55,50.0,60.0,0.9625,0.0037,0.0032,4,0,0.962,0.0027,0.0021,0,0,0.0005,0.003714,0.003209
postBpix,seed,EB_R9_0p50to0p55,60.0,70.0,0.9654,0.0105,0.008,0,0,0.9692,0.0045,0.005,0,0,0.0039,0.011155,0.008896
postBpix,seed,EB_R9_0p50to0p55,70.0,90.0,0.9799,0.0094,0.008,0,0,0.9774,0.0086,0.01,0,0,0.0025,0.009688,0.008382
postBpix,seed,EB_R9_0p50to0p55,90.0,999999.0,0.9928,0.002,0.0048,0,0,0.9936,0.0042,0.0042,4,0,0.0008,0.002139,0.004858
postBpix,seed,EB_R9_0p55to0p85,0.0,35.0,0.813,0.0028,0.0029,4,4,0.8415,0.001,0.001,0,4,0.0285,0.028618,0.028624
postBpix,seed,EB_R9_0p55to0p85,35.0,37.0,0.9546,0.0014,0.001,0,0,0.9546,0.001,0.001,4,0,0.0,0.00142,0.001
postBpix,seed,EB_R9_0p55to0p85,37.0,40.0,0.9619,0.001,0.001,0,0,0.9619,0.001,0.001,0,0,0.0,0.001,0.001
postBpix,seed,EB_R9_0p55to0p85,40.0,45.0,0.967,0.001,0.001,0,4,0.967,0.001,0.001,0,0,0.0,0.001,0.001
postBpix,seed,EB_R9_0p55to0p85,45.0,50.0,0.969,0.001,0.001,4,0,0.9689,0.001,0.001,0,0,0.0001,0.001007,0.001007
postBpix,seed,EB_R9_0p55to0p85,50.0,60.0,0.9715,0.001,0.0026,0,0,0.9716,0.001,0.001,0,0,0.0001,0.001007,0.002573
postBpix,seed,EB_R9_0p55to0p85,60.0,70.0,0.9768,0.0024,0.0016,4,0,0.9769,0.0014,0.0014,0,0,0.0001,0.002423,0.001575
postBpix,seed,EB_R9_0p55to0p85,70.0,90.0,0.9841,0.0019,0.002,4,0,0.9815,0.001,0.0014,0,4,0.0026,0.003282,0.003306
postBpix,seed,EB_R9_0p55to0p85,90.0,999999.0,0.9918,0.0014,0.0015,4,0,0.9912,0.0015,0.0015,4,0,0.0006,0.001556,0.001612
postBpix,seed,EB_R9gt0p85,0.0,35.0,0.8664,0.001,0.001,0,0,0.8611,0.001,0.001,0,0,0.0054,0.005452,0.005452
